çalışan id,ad,yaş,departman,şehir,deneyim yılı,maaş,performans puanı,yaş grubu,maaş kategorisi,performans değerlendirme,email
1,Çalışan_1,60,IT,İzmir,16,10484,83.0,Olgun,Çok Yüksek,İyi,çalışan.1@it.company.com
2,Çalışan_2,50,Pazarlama,İstanbul,13,8646,82.0,Olgun,Yüksek,İyi,çalışan.2@pazarlama.company.com
3,Çalışan_3,36,HR,İstanbul,2,5635,91.0,Orta Yaş Üstü,Orta,Mükemmel,çalışan.3@hr.company.com
4,Çalışan_4,64,IT,Bursa,0,9408,80.08888888888889,Olgun,Yüksek,İyi,çalışan.4@it.company.com
5,Çalışan_5,29,Satış,İzmir,19,11421,71.0,Orta Yaş,Çok Yüksek,Ortalama,çalışan.5@satış.company.com
6,Çalışan_6,42,Muhasebe,Antalya,0,5757,72.0,Orta Yaş Üstü,Orta,Ortalama,çalışan.6@muhasebe.company.com
7,Çalışan_7,60,Pazarlama,İzmir,2,8452,80.08888888888889,Olgun,Yüksek,İyi,çalışan.7@pazarlama.company.com
8,Çalışan_8,40,Muhasebe,Bursa,17,6070,84.0,Orta Yaş Üstü,Orta,İyi,çalışan.8@muhasebe.company.com
9,Çalışan_9,44,Muhasebe,Bursa,9,9881,94.0,Orta Yaş Üstü,Yüksek,Mükemmel,çalışan.9@muhasebe.company.com
10,Çalışan_10,32,IT,İzmir,2,10665,89.0,Orta Yaş,Çok Yüksek,İyi,çalışan.10@it.company.com
11,Çalışan_11,32,Muhasebe,Bursa,7,9877,76.0,Orta Yaş,Yüksek,Ortalama,çalışan.11@muhasebe.company.com
12,Çalışan_12,45,Satış,İzmir,13,11267,79.0,Orta Yaş Üstü,Çok Yüksek,Ortalama,çalışan.12@satış.company.com
13,Çalışan_13,57,Muhasebe,Ankara,17,6849,84.0,Olgun,Orta,İyi,çalışan.13@muhasebe.company.com
14,Çalışan_14,61,IT,İzmir,14,7251,81.0,Olgun,Orta,İyi,çalışan.14@it.company.com
15,Çalışan_15,45,Satış,İzmir,1,11390,72.0,Orta Yaş Üstü,Çok Yüksek,Ortalama,çalışan.15@satış.company.com
16,Çalışan_16,24,HR,Bursa,9,10905,78.0,Genç,Çok Yüksek,Ortalama,çalışan.16@hr.company.com
17,Çalışan_17,43,Muhasebe,Bursa,1,7730,95.0,Orta Yaş Üstü,Yüksek,Mükemmel,çalışan.17@muhasebe.company.com
18,Çalışan_18,23,IT,İstanbul,16,6489,71.0,Genç,Orta,Ortalama,çalışan.18@it.company.com
19,Çalışan_19,45,HR,İstanbul,7,5631,78.0,Orta Yaş Üstü,Orta,Ortalama,çalışan.19@hr.company.com
20,Çalışan_20,51,HR,Ankara,0,6816,71.0,Olgun,Orta,Ortalama,çalışan.20@hr.company.com
21,Çalışan_21,59,Pazarlama,İstanbul,8,5015,68.0,Olgun,Orta,Gelişim Gerekli,çalışan.21@pazarlama.company.com
22,Çalışan_22,23,Satış,İzmir,10,5348,66.0,Genç,Orta,Gelişim Gerekli,çalışan.22@satış.company.com
23,Çalışan_23,42,Muhasebe,Bursa,15,8611,87.0,Orta Yaş Üstü,Yüksek,İyi,çalışan.23@muhasebe.company.com
24,Çalışan_24,54,IT,İstanbul,6,7087,73.0,Olgun,Orta,Ortalama,çalışan.24@it.company.com
25,Çalışan_25,33,Pazarlama,İstanbul,9,6839,90.0,Orta Yaş,Orta,Mükemmel,çalışan.25@pazarlama.company.com
26,Çalışan_26,43,Satış,Ankara,2,4335,78.0,Orta Yaş Üstü,Düşük,Ortalama,çalışan.26@satış.company.com
27,Çalışan_27,46,Pazarlama,Ankara,17,9878,75.0,Orta Yaş Üstü,Yüksek,Ortalama,çalışan.27@pazarlama.company.com
28,Çalışan_28,48,Satış,İzmir,12,10401,64.0,Orta Yaş Üstü,Çok Yüksek,Gelişim Gerekli,çalışan.28@satış.company.com
29,Çalışan_29,63,Satış,Bursa,6,8592,94.0,Olgun,Yüksek,Mükemmel,çalışan.29@satış.company.com
30,Çalışan_30,49,Muhasebe,Ankara,3,4895,71.0,Orta Yaş Üstü,Düşük,Ortalama,çalışan.30@muhasebe.company.com
31,Çalışan_31,37,Satış,İstanbul,12,10303,84.0,Orta Yaş Üstü,Çok Yüksek,İyi,çalışan.31@satış.company.com
32,Çalışan_32,36,Pazarlama,Bursa,19,7546,80.0,Orta Yaş Üstü,Yüksek,İyi,çalışan.32@pazarlama.company.com
33,Çalışan_33,24,Satış,Bursa,0,4851,95.0,Genç,Düşük,Mükemmel,çalışan.33@satış.company.com
34,Çalışan_34,58,Muhasebe,İstanbul,7,5687,80.08888888888889,Olgun,Orta,İyi,çalışan.34@muhasebe.company.com
35,Çalışan_35,28,Muhasebe,Ankara,13,5931,75.0,Orta Yaş,Orta,Ortalama,çalışan.35@muhasebe.company.com
36,Çalışan_36,42,Pazarlama,İstanbul,15,10833,98.0,Orta Yaş Üstü,Çok Yüksek,Mükemmel,çalışan.36@pazarlama.company.com
37,Çalışan_37,30,HR,Bursa,13,7746,98.0,Orta Yaş,Yüksek,Mükemmel,çalışan.37@hr.company.com
38,Çalışan_38,60,HR,Antalya,11,6427,73.0,Olgun,Orta,Ortalama,çalışan.38@hr.company.com
39,Çalışan_39,39,Satış,Antalya,18,5568,90.0,Orta Yaş Üstü,Orta,Mükemmel,çalışan.39@satış.company.com
40,Çalışan_40,25,IT,İzmir,14,8000,80.08888888888889,Orta Yaş,Yüksek,İyi,çalışan.40@it.company.com
41,Çalışan_41,46,Satış,İstanbul,1,9052,94.0,Orta Yaş Üstü,Yüksek,Mükemmel,çalışan.41@satış.company.com
42,Çalışan_42,35,Pazarlama,İstanbul,1,6738,82.0,Orta Yaş Üstü,Orta,İyi,çalışan.42@pazarlama.company.com
43,Çalışan_43,30,Pazarlama,İzmir,18,7498,88.0,Orta Yaş,Orta,İyi,çalışan.43@pazarlama.company.com
44,Çalışan_44,47,Pazarlama,İzmir,16,9732,70.0,Orta Yaş Üstü,Yüksek,Ortalama,çalışan.44@pazarlama.company.com
45,Çalışan_45,23,Pazarlama,İzmir,19,9387,77.0,Genç,Yüksek,Ortalama,çalışan.45@pazarlama.company.com
46,Çalışan_46,41,Pazarlama,Bursa,9,11744,71.0,Orta Yaş Üstü,Çok Yüksek,Ortalama,çalışan.46@pazarlama.company.com
47,Çalışan_47,49,Muhasebe,İstanbul,5,9536,68.0,Orta Yaş Üstü,Yüksek,Gelişim Gerekli,çalışan.47@muhasebe.company.com
48,Çalışan_48,28,HR,Bursa,14,9287,69.0,Orta Yaş,Yüksek,Gelişim Gerekli,çalışan.48@hr.company.com
49,Çalışan_49,29,Pazarlama,İzmir,10,7913,76.0,Orta Yaş,Yüksek,Ortalama,çalışan.49@pazarlama.company.com
50,Çalışan_50,56,IT,İstanbul,4,5066,97.0,Olgun,Orta,Mükemmel,çalışan.50@it.company.com
51,Çalışan_51,35,IT,Bursa,0,11723,66.0,Orta Yaş Üstü,Çok Yüksek,Gelişim Gerekli,çalışan.51@it.company.com
52,Çalışan_52,38,IT,Bursa,7,8380,72.0,Orta Yaş Üstü,Yüksek,Ortalama,çalışan.52@it.company.com
53,Çalışan_53,57,IT,İzmir,11,6444,99.0,Olgun,Orta,Mükemmel,çalışan.53@it.company.com
54,Çalışan_54,61,Muhasebe,İstanbul,11,8107,68.0,Olgun,Yüksek,Gelişim Gerekli,çalışan.54@muhasebe.company.com
55,Çalışan_55,25,IT,İzmir,4,9726,86.0,Orta Yaş,Yüksek,İyi,çalışan.55@it.company.com
56,Çalışan_56,23,Pazarlama,İstanbul,6,7373,80.08888888888889,Genç,Orta,İyi,çalışan.56@pazarlama.company.com
57,Çalışan_57,27,Satış,Antalya,3,7969,64.0,Orta Yaş,Yüksek,Gelişim Gerekli,çalışan.57@satış.company.com
58,Çalışan_58,63,IT,Ankara,5,11420,88.0,Olgun,Çok Yüksek,İyi,çalışan.58@it.company.com
59,Çalışan_59,25,Muhasebe,Ankara,12,6546,96.0,Orta Yaş,Orta,Mükemmel,çalışan.59@muhasebe.company.com
60,Çalışan_60,50,Muhasebe,Ankara,19,4753,97.0,Olgun,Düşük,Mükemmel,çalışan.60@muhasebe.company.com
61,Çalışan_61,39,IT,İzmir,14,6082,80.08888888888889,Orta Yaş Üstü,Orta,İyi,çalışan.61@it.company.com
62,Çalışan_62,47,Satış,Antalya,2,6774,67.0,Orta Yaş Üstü,Orta,Gelişim Gerekli,çalışan.62@satış.company.com
63,Çalışan_63,55,IT,İstanbul,7,6896,60.0,Olgun,Orta,Gelişim Gerekli,çalışan.63@it.company.com
64,Çalışan_64,31,Muhasebe,Bursa,19,8185,81.0,Orta Yaş,Yüksek,İyi,çalışan.64@muhasebe.company.com
65,Çalışan_65,57,HR,İstanbul,15,4775,76.0,Olgun,Düşük,Ortalama,çalışan.65@hr.company.com
66,Çalışan_66,35,Pazarlama,Bursa,12,10748,66.0,Orta Yaş Üstü,Çok Yüksek,Gelişim Gerekli,çalışan.66@pazarlama.company.com
67,Çalışan_67,52,Muhasebe,İstanbul,17,11113,84.0,Olgun,Çok Yüksek,İyi,çalışan.67@muhasebe.company.com
68,Çalışan_68,36,IT,Antalya,9,5625,63.0,Orta Yaş Üstü,Orta,Gelişim Gerekli,çalışan.68@it.company.com
69,Çalışan_69,29,Pazarlama,Bursa,18,7069,95.0,Orta Yaş,Orta,Mükemmel,çalışan.69@pazarlama.company.com
70,Çalışan_70,35,IT,İzmir,16,4417,80.08888888888889,Orta Yaş Üstü,Düşük,İyi,çalışan.70@it.company.com
71,Çalışan_71,44,IT,İstanbul,18,4114,90.0,Orta Yaş Üstü,Düşük,Mükemmel,çalışan.71@it.company.com
72,Çalışan_72,61,HR,İstanbul,4,4616,78.0,Olgun,Düşük,Ortalama,çalışan.72@hr.company.com
73,Çalışan_73,42,Pazarlama,Bursa,8,7974,98.0,Orta Yaş Üstü,Yüksek,Mükemmel,çalışan.73@pazarlama.company.com
74,Çalışan_74,37,Pazarlama,İzmir,11,7267,86.0,Orta Yaş Üstü,Orta,İyi,çalışan.74@pazarlama.company.com
75,Çalışan_75,39,HR,İzmir,0,4825,69.0,Orta Yaş Üstü,Düşük,Gelişim Gerekli,çalışan.75@hr.company.com
76,Çalışan_76,45,Muhasebe,Antalya,0,11668,85.0,Orta Yaş Üstü,Çok Yüksek,İyi,çalışan.76@muhasebe.company.com
77,Çalışan_77,47,IT,İzmir,14,9745,78.0,Orta Yaş Üstü,Yüksek,Ortalama,çalışan.77@it.company.com
78,Çalışan_78,46,Satış,İzmir,1,5516,98.0,Orta Yaş Üstü,Orta,Mükemmel,çalışan.78@satış.company.com
79,Çalışan_79,62,IT,İzmir,15,7146,62.0,Olgun,Orta,Gelişim Gerekli,çalışan.79@it.company.com
80,Çalışan_80,50,IT,Ankara,7,4412,72.0,Olgun,Düşük,Ortalama,çalışan.80@it.company.com
81,Çalışan_81,36,Muhasebe,Antalya,12,11543,87.0,Orta Yaş Üstü,Çok Yüksek,İyi,çalışan.81@muhasebe.company.com
82,Çalışan_82,22,IT,İstanbul,0,11587,79.0,Genç,Çok Yüksek,Ortalama,çalışan.82@it.company.com
83,Çalışan_83,46,HR,Bursa,15,4728,87.0,Orta Yaş Üstü,Düşük,İyi,çalışan.83@hr.company.com
84,Çalışan_84,28,HR,İstanbul,6,7348,80.08888888888889,Orta Yaş,Orta,İyi,çalışan.84@hr.company.com
85,Çalışan_85,30,Pazarlama,Antalya,4,11164,80.08888888888889,Orta Yaş,Çok Yüksek,İyi,çalışan.85@pazarlama.company.com
86,Çalışan_86,45,Satış,Bursa,2,6808,60.0,Orta Yaş Üstü,Orta,Gelişim Gerekli,çalışan.86@satış.company.com
87,Çalışan_87,22,IT,Antalya,11,4675,62.0,Genç,Düşük,Gelişim Gerekli,çalışan.87@it.company.com
88,Çalışan_88,29,IT,İzmir,15,7465,72.0,Orta Yaş,Orta,Ortalama,çalışan.88@it.company.com
89,Çalışan_89,45,Muhasebe,Bursa,18,9988,87.0,Orta Yaş Üstü,Yüksek,İyi,çalışan.89@muhasebe.company.com
90,Çalışan_90,32,HR,İzmir,4,6504,84.0,Orta Yaş,Orta,İyi,çalışan.90@hr.company.com
91,Çalışan_91,38,Satış,İstanbul,13,6967,92.0,Orta Yaş Üstü,Orta,Mükemmel,çalışan.91@satış.company.com
92,Çalışan_92,29,Pazarlama,İstanbul,4,10335,80.08888888888889,Orta Yaş,Çok Yüksek,İyi,çalışan.92@pazarlama.company.com
93,Çalışan_93,56,HR,Bursa,14,6786,65.0,Olgun,Orta,Gelişim Gerekli,çalışan.93@hr.company.com
94,Çalışan_94,56,Pazarlama,Bursa,16,11856,91.0,Olgun,Çok Yüksek,Mükemmel,çalışan.94@pazarlama.company.com
95,Çalışan_95,54,Muhasebe,Antalya,13,5122,80.0,Olgun,Orta,İyi,çalışan.95@muhasebe.company.com
96,Çalışan_96,26,Muhasebe,Antalya,19,8079,75.0,Orta Yaş,Yüksek,Ortalama,çalışan.96@muhasebe.company.com
97,Çalışan_97,63,IT,İzmir,4,5571,80.0,Olgun,Orta,İyi,çalışan.97@it.company.com
98,Çalışan_98,60,Satış,Bursa,11,9073,70.0,Olgun,Yüksek,Ortalama,çalışan.98@satış.company.com
99,Çalışan_99,62,Pazarlama,İstanbul,15,9104,96.0,Olgun,Yüksek,Mükemmel,çalışan.99@pazarlama.company.com
100,Çalışan_100,49,HR,Antalya,15,6143,95.0,Orta Yaş Üstü,Orta,Mükemmel,çalışan.100@hr.company.com
